,Series,ARIMA.rec,ARIMA.unrec,OLS.rec,OLS.unrec,ARIMAX.rec,ARIMAX.unrec,OLSX.rec,OLSX.unrec,Actual,date,ForecastInterval
3572,Zone x Purpose/ABVis,627.1325416,630.582149,577.8158721,599.6692113,616.8217467,630.5888234,578.4778213,599.9309409,592.4970846,20,24Step
3573,Zone x Purpose/ABVis,594.8697707,575.8068043,620.3430421,644.9098925,582.6641626,575.8178642,619.0180957,645.0302921,804.499047,21,24Step
3574,Zone x Purpose/ABVis,694.2616931,662.4441089,627.6451945,640.643862,690.1195541,662.454102,627.9046726,640.6785623,823.2175794,22,24Step
3575,Zone x Purpose/ABVis,571.3062562,540.668035,567.1313916,554.5251649,564.0880305,540.6780082,566.4490248,554.6381628,655.1339568,23,24Step
3576,Zone x Purpose/ABVis,852.0573756,874.3396751,775.3388626,775.6390871,841.4689658,874.3459524,775.2233636,775.4700829,843.983051,24,24Step
3577,Zone x Purpose/ABBus,156.838267,159.5515575,148.6853952,121.5328405,149.691634,160.4082212,149.5943051,121.5475215,82.17704,1,24Step
3578,Zone x Purpose/ABBus,148.5540775,159.4189585,172.7249057,133.6637769,148.1936303,160.2778323,170.5563667,133.6439829,193.0927802,2,24Step
3579,Zone x Purpose/ABBus,156.5272216,159.4168987,195.9415033,215.6615833,153.7852173,160.2756184,197.2441768,216.7131512,212.5005099,3,24Step
3580,Zone x Purpose/ABBus,160.1437691,159.4168667,166.2579338,144.7957476,158.1470322,149.9638092,164.3472599,148.8045434,263.9427725,4,24Step
3581,Zone x Purpose/ABBus,166.302032,159.4168662,194.3907415,160.0144691,159.3521339,160.2755802,183.4490914,155.0539344,475.9009608,5,24Step
3582,Zone x Purpose/ABBus,154.1926525,159.4168662,167.3244666,160.9670639,147.4874574,160.2755802,173.3567954,160.9291731,143.6614394,6,24Step
3583,Zone x Purpose/ABBus,163.2908754,159.4168662,194.6707504,183.7188978,156.1017857,160.2755802,199.1133391,183.6775517,157.7609423,7,24Step
3584,Zone x Purpose/ABBus,177.7468545,159.4168662,182.0802758,161.2414918,167.3580867,160.2755802,183.7716068,161.2802076,353.8271628,8,24Step
3585,Zone x Purpose/ABBus,174.0829209,159.4168662,187.4366416,170.3346803,170.0990183,160.2755802,187.3206176,170.3108331,106.3744689,9,24Step
3586,Zone x Purpose/ABBus,162.3050729,159.4168662,202.8420873,182.7282862,162.5938311,160.2755802,202.9493168,182.7457953,162.8947929,10,24Step
3587,Zone x Purpose/ABBus,210.3284212,159.4168662,243.1997249,216.3185584,206.3384878,160.2755802,242.9719158,216.3231616,259.2595258,11,24Step
3588,Zone x Purpose/ABBus,158.0382098,159.4168662,153.8028393,140.8093302,154.0397448,160.2755802,154.1883032,140.8615613,194.0441263,12,24Step
3589,Zone x Purpose/ABBus,104.0299987,159.4168662,114.9880372,119.9568758,91.23158777,160.2755802,116.3533165,119.8716443,137.4696919,13,24Step
3590,Zone x Purpose/ABBus,141.2458571,159.4168662,149.3706278,134.2249847,129.8056496,160.2755802,146.8996992,134.2006629,224.8605057,14,24Step
3591,Zone x Purpose/ABBus,139.7285626,159.4168662,178.7120802,216.261165,132.920893,149.9638085,179.5457855,217.3124681,207.8550731,15,24Step
3592,Zone x Purpose/ABBus,141.622944,159.4168662,152.9927187,145.3960184,139.8948492,160.2755802,152.7423256,144.428114,349.9898654,16,24Step
3593,Zone x Purpose/ABBus,157.7475916,159.4168662,183.9311444,160.6147523,145.2051715,160.2755802,186.6842154,160.5356005,320.3966378,17,24Step
3594,Zone x Purpose/ABBus,128.3675826,159.4168662,158.9981095,161.5673473,121.9525796,160.2755802,159.8214554,161.6225461,204.7688446,18,24Step
3595,Zone x Purpose/ABBus,147.2657483,159.4168662,188.0119763,184.3191813,133.8884633,160.2755802,188.7163295,184.2794791,225.654011,19,24Step
3596,Zone x Purpose/ABBus,140.2489842,159.4168662,176.7683357,161.8417753,128.6056544,160.2755802,176.6545266,161.8803885,361.3816874,20,24Step
3597,Zone x Purpose/ABBus,165.2260603,159.4168662,183.2139034,170.9349637,152.7012021,160.2755802,182.1642982,170.9109807,265.0328948,21,24Step
3598,Zone x Purpose/ABBus,144.6656168,159.4168662,199.498798,183.3285696,141.2201977,160.2755802,199.1056777,183.3459423,254.650611,22,24Step
3599,Zone x Purpose/ABBus,166.9369226,159.4168662,240.6208907,216.9188418,160.4220491,160.2755802,240.0884639,216.9233085,268.9577143,23,24Step
3600,Zone x Purpose/ABBus,132.743178,159.4168662,151.836405,141.4096136,122.4340161,160.2755802,152.0193204,141.4617083,90.5271066,24,24Step
3601,Zone x Purpose/ABOth,38.85071505,63.15889911,57.06203456,65.5797108,32.83328118,64.21054205,57.12781176,65.31832195,31.1018224,1,24Step
3602,Zone x Purpose/ABOth,35.95141301,78.34254175,85.61767366,61.66811061,36.38474727,78.66318475,81.88946847,61.727103,22.9816523,2,24Step
3603,Zone x Purpose/ABOth,44.70631574,77.38797204,14.50287867,53.28929825,43.01855622,79.55304998,19.83403327,58.22677447,44.5440236,3,24Step
3604,Zone x Purpose/ABOth,48.63689186,68.8811757,59.63292963,69.00364679,36.00357629,56.76310078,79.68260411,86.68508624,75.3378008,4,24Step
3605,Zone x Purpose/ABOth,60.76419692,63.00139643,92.20528976,78.15021495,56.04683442,65.57774791,67.91229334,54.37355841,79.7106994,5,24Step
3606,Zone x Purpose/ABOth,27.17211974,62.4887271,48.68892777,55.67832647,22.54589169,65.41763679,50.52739439,56.78039744,25.1669159,6,24Step
3607,Zone x Purpose/ABOth,59.68389209,61.89079072,71.38079368,80.00053046,54.99012438,67.18165189,72.62506199,80.04268538,40.8004668,7,24Step
3608,Zone x Purpose/ABOth,48.9908769,71.0151619,61.59083521,58.23677367,36.20205354,68.13190745,62.23999645,58.07716968,108.8417161,8,24Step
3609,Zone x Purpose/ABOth,68.31118391,69.10837721,68.22758829,74.50183823,63.57024903,68.20215436,67.64712601,74.65338222,84.9543841,9,24Step
3610,Zone x Purpose/ABOth,47.74157125,69.518312,83.80506919,83.15710323,45.23679275,67.87928774,83.46883403,82.99236946,64.0709449,10,24Step
3611,Zone x Purpose/ABOth,82.79698201,70.35915623,82.57877253,70.71075792,74.19312986,67.67129105,81.95269519,70.80419351,149.5436032,11,24Step
3612,Zone x Purpose/ABOth,60.20515733,71.49214524,77.78710359,79.77233913,52.07043742,67.64599139,77.98903176,79.81701991,158.4754187,12,24Step
3613,Zone x Purpose/ABOth,-4.369018427,67.58851839,56.10163715,70.75112058,-17.33247152,67.7052813,56.92925531,70.6607646,49.4117059,13,24Step
3614,Zone x Purpose/ABOth,35.12367925,66.60127708,84.11900956,63.51530373,24.0961265,67.74944172,80.43882563,63.57668647,67.9659962,14,24Step
3615,Zone x Purpose/ABOth,35.04821774,66.6720942,14.48793841,55.29128441,13.23532551,54.8746121,19.51147884,60.22761826,86.9491452,15,24Step
3616,Zone x Purpose/ABOth,41.86718541,67.23658588,61.1344176,70.99842497,41.33695164,67.74627976,58.87086566,65.74048222,204.1202671,16,24Step
3617,Zone x Purpose/ABOth,61.28577225,67.62515421,94.54977338,80.14532877,48.67586135,67.73707312,96.3722263,80.30041525,180.3495823,17,24Step
3618,Zone x Purpose/ABOth,24.84815076,67.65783941,51.43339617,57.67342466,18.34508445,67.73501655,52.14323464,57.73856078,142.6072247,18,24Step
3619,Zone x Purpose/ABOth,54.70010885,67.69981539,74.26281135,81.99562938,41.46179344,67.73693784,74.40776945,82.08213264,88.530036,19,24Step
3620,Zone x Purpose/ABOth,45.80148719,67.08613159,64.46450022,60.23187255,34.94753163,67.73883164,64.52444534,60.06979131,42.7728545,20,24Step
3621,Zone x Purpose/ABOth,73.28253093,67.21523926,71.04259654,76.49693712,60.649502,67.73935027,70.17156842,76.64803165,24.4431954,21,24Step
3622,Zone x Purpose/ABOth,55.92871651,67.18731053,86.49987996,85.15220212,52.2920151,67.73901727,86.06166305,84.98693108,74.671031,22,24Step
3623,Zone x Purpose/ABOth,66.28874284,67.13024466,85.15019948,72.70585681,59.10657121,67.73863218,84.50081451,72.79875894,338.0019183,23,24Step
3624,Zone x Purpose/ABOth,54.76912554,67.0537035,80.27292619,81.76743802,44.71163116,67.73850734,80.49018682,81.81158517,24.9112231,24,24Step
3625,Zone x Purpose/ACHol,2606.001756,2677.902001,2425.806321,2425.534633,2613.333829,2678.098658,2427.697589,2426.285947,2160.834511,1,24Step
3626,Zone x Purpose/ACHol,448.6366615,458.0699982,589.9524039,493.8565755,451.3895936,457.9114842,607.140838,498.7163467,509.512535,2,24Step
3627,Zone x Purpose/ACHol,447.2648611,454.5030962,412.6394985,445.818304,456.1150806,440.8644946,404.3563762,441.1615142,737.9784783,3,24Step
3628,Zone x Purpose/ACHol,792.7340952,784.0724386,820.322118,841.8591535,786.0477017,797.6212041,764.9706355,792.1218714,799.0244596,4,24Step
3629,Zone x Purpose/ACHol,316.2370924,320.5718055,313.7823551,346.1415355,316.2791872,320.5497776,365.1129951,398.7439355,493.4030715,5,24Step
3630,Zone x Purpose/ACHol,305.7867853,319.202441,210.3808333,220.6519264,307.9130181,319.1394541,214.0513202,219.3089765,376.9140871,6,24Step
3631,Zone x Purpose/ACHol,366.6687384,360.244128,320.923328,337.1307729,365.3284807,360.2884528,315.4477895,334.3164171,310.3014417,7,24Step
3632,Zone x Purpose/ACHol,267.5816213,263.8104248,235.3989132,241.9556911,272.045857,263.6541119,237.3993162,242.6594089,319.1274157,8,24Step
3633,Zone x Purpose/ACHol,304.5141915,304.5555606,248.8831279,245.8636332,304.2690936,304.4679076,249.1332427,246.4189508,372.6936238,9,24Step
3634,Zone x Purpose/ACHol,548.7085492,569.5197088,540.6407512,533.0430802,561.4498863,569.4031823,540.1347622,532.4488407,447.6873648,10,24Step
3635,Zone x Purpose/ACHol,470.8901339,505.9720422,383.428158,360.6634059,467.7318556,506.0261618,386.2945453,361.5412354,563.2161474,11,24Step
3636,Zone x Purpose/ACHol,433.5299249,420.9919954,430.3800177,436.4136694,434.8105851,420.7743304,430.5542281,437.4119793,416.4323465,12,24Step
3637,Zone x Purpose/ACHol,2411.543015,2475.22036,2413.486998,2429.236121,2456.042066,2475.808601,2410.822805,2427.988145,2392.512773,13,24Step
3638,Zone x Purpose/ACHol,473.5925594,505.5531487,575.4049911,484.5223799,491.8934997,505.5672712,591.8210457,489.4866459,644.5625554,14,24Step
3639,Zone x Purpose/ACHol,410.5720814,413.7291477,401.626966,436.9377247,445.0624798,439.0841555,392.8282812,432.2790773,792.4234887,15,24Step
3640,Zone x Purpose/ACHol,798.4187246,803.6427629,810.9068462,832.9627892,769.5195511,778.4749443,801.646921,829.2695827,573.368738,16,24Step
3641,Zone x Purpose/ACHol,301.115062,305.5801024,305.1772541,337.2457205,301.530001,305.6549668,315.0400316,342.347089,336.4715796,17,24Step
3642,Zone x Purpose/ACHol,312.4126174,334.7257698,202.1418764,211.7560923,315.0423989,334.7265142,199.3069314,211.9248566,469.8006142,18,24Step
3643,Zone x Purpose/ACHol,350.9187514,343.8962612,312.8111647,328.2349395,353.3946534,343.8628281,307.0716266,325.3753533,430.5417476,19,24Step
3644,Zone x Purpose/ACHol,292.5535043,298.7042249,227.2903804,233.0598577,302.190853,298.7743412,228.9629911,233.7678032,261.6729105,20,24Step
3645,Zone x Purpose/ACHol,302.7214279,309.3767965,240.7165708,236.9677998,309.3855141,309.4710298,240.9418905,237.525774,287.6230803,21,24Step
3646,Zone x Purpose/ACHol,582.6004113,602.9517019,532.4029225,524.1472468,597.9080418,602.9599618,531.8853179,523.5557138,591.1198114,22,24Step
3647,Zone x Purpose/ACHol,429.1704851,467.6422717,375.1015539,351.7675724,449.4091636,467.6963161,377.9906022,352.6481069,555.8821335,23,24Step
3648,Zone x Purpose/ACHol,504.508979,516.9289634,421.9428127,427.517836,504.2595955,516.8152144,422.1479313,428.5188508,363.0033993,24,24Step
3649,Zone x Purpose/ACVis,561.7695333,558.3201721,546.4922754,534.0893418,559.6667466,558.4509571,546.7541549,533.8069465,519.2761873,1,24Step
3650,Zone x Purpose/ACVis,160.7324447,186.4295734,350.2220957,238.2203554,160.6948293,186.4725986,347.5040815,238.3836991,232.3461089,2,24Step
3651,Zone x Purpose/ACVis,213.4816368,195.2493499,245.0713451,225.5070248,197.104091,186.2783939,234.8015532,218.0491185,337.1813192,3,24Step
3652,Zone x Purpose/ACVis,249.9497647,244.4331423,223.0783349,253.9307247,262.686239,253.4340472,203.0198574,227.8604731,267.5918313,4,24Step
3653,Zone x Purpose/ACVis,161.7675331,178.521241,93.86534283,126.9622956,163.5062191,178.5859869,99.26997867,145.6410935,136.5275815,5,24Step
3654,Zone x Purpose/ACVis,188.5881686,199.0627585,101.7705213,138.1404857,191.0273457,199.1067102,112.3096941,145.8616107,255.6300489,6,24Step
3655,Zone x Purpose/ACVis,225.6593498,208.7894614,142.8688322,176.4255409,226.0386707,208.8147782,151.7073935,180.1465161,174.005642,7,24Step
3656,Zone x Purpose/ACVis,162.7115478,165.5034253,121.0512606,131.1472352,161.5833582,165.4584678,125.00912,132.3508467,147.9770799,8,24Step
3657,Zone x Purpose/ACVis,135.6462046,137.5075311,141.8274554,154.0815118,138.2255005,137.5467485,142.8517856,154.285893,276.6806841,9,24Step
3658,Zone x Purpose/ACVis,342.8118499,342.3275537,191.7008088,201.9098162,345.8216737,342.2846567,193.4247298,202.2685896,201.142934,10,24Step
3659,Zone x Purpose/ACVis,195.0542859,211.6131051,161.4374781,160.491899,196.7574622,211.6184488,161.7905999,160.4943522,332.69498,11,24Step
3660,Zone x Purpose/ACVis,320.8161154,304.0565985,292.8029906,296.4916329,323.2572767,304.0588006,292.9579703,296.3562066,367.0451346,12,24Step
3661,Zone x Purpose/ACVis,654.689172,613.4475692,571.3645672,549.812058,647.8921179,613.4605617,573.3235672,550.4639319,354.1553761,13,24Step
3662,Zone x Purpose/ACVis,171.0126702,203.4188875,364.5108096,244.2938526,166.0465727,203.4251283,362.4605153,244.9327772,196.6761454,14,24Step
3663,Zone x Purpose/ACVis,235.0205822,213.5438517,253.8434423,227.4070072,251.3100039,232.8301578,243.8103122,220.185695,217.7220822,15,24Step
3664,Zone x Purpose/ACVis,263.9016274,241.3776253,228.6988843,254.0255635,240.4367138,222.0940719,237.4595581,259.777875,324.202314,16,24Step
3665,Zone x Purpose/ACVis,199.5193178,213.8162556,97.46977601,126.2763673,198.5974046,213.8156591,100.162283,127.1448903,250.0168651,17,24Step
3666,Zone x Purpose/ACVis,206.2208543,223.5461549,104.0544139,137.1168572,209.2249087,223.5456619,104.6974006,137.064931,183.8033084,18,24Step
3667,Zone x Purpose/ACVis,256.8663096,223.4835425,144.2721017,175.255849,256.2990715,223.4832387,146.1428925,175.5840621,239.570793,19,24Step
3668,Zone x Purpose/ACVis,146.7951633,143.1162819,121.8465111,129.9143675,147.4666539,143.1168492,121.7210005,129.6367999,154.1282142,20,24Step
3669,Zone x Purpose/ACVis,153.4605427,159.5556149,142.1875627,152.8213191,152.643064,159.5551204,140.7970825,152.378749,98.2165008,21,24Step
3670,Zone x Purpose/ACVis,323.5375831,321.032551,191.7533167,200.6378048,328.0570413,321.0330881,192.0508225,200.7136906,190.1779027,22,24Step
3671,Zone x Purpose/ACVis,218.0635333,215.782111,161.2491105,159.2147757,219.5736571,215.7820413,160.7393871,159.0932221,385.0878828,23,24Step
3672,Zone x Purpose/ACVis,306.9813741,306.5674119,292.4367585,295.2122986,307.7095232,306.5673816,292.0619014,295.0222028,348.7964846,24,24Step
3673,Zone x Purpose/ACBus,40.22044825,49.50599617,51.54180354,27.19514271,37.18324366,49.51999327,52.53112776,27.27137739,79.6369624,1,24Step
3674,Zone x Purpose/ACBus,53.01810157,51.31219562,47.85684532,42.67929865,51.13472982,51.32647292,48.08008594,42.65544369,58.8205694,2,24Step
3675,Zone x Purpose/ACBus,64.26298262,51.4625181,36.64282629,56.69472039,64.89277478,51.47674513,34.23120768,55.60771561,47.9242112,3,24Step
3676,Zone x Purpose/ACBus,54.46843231,51.47502882,71.48811465,46.19923451,62.64847407,51.31558205,65.04400135,42.20351416,24.3546332,4,24Step
3677,Zone x Purpose/ACBus,41.81267851,51.47607004,81.98990434,48.16151993,42.47828557,51.49028539,82.13061618,53.24423493,222.9257234,5,24Step
3678,Zone x Purpose/ACBus,50.84128463,51.47615669,67.03656059,57.28628059,51.94082663,51.49037189,70.56430995,57.30458827,31.8783216,6,24Step
3679,Zone x Purpose/ACBus,48.31884168,51.4761639,61.05873603,45.70075045,48.83356245,51.49037909,64.143903,45.69119423,28.8655019,7,24Step
3680,Zone x Purpose/ACBus,65.38517872,51.4761645,68.15547764,45.56110391,63.84093671,51.49037968,68.91670666,45.55442418,354.0217388,8,24Step
3681,Zone x Purpose/ACBus,56.58467255,51.47616455,68.67482991,50.40364812,58.19278159,51.49037973,68.6517263,50.42831708,59.6098996,9,24Step
3682,Zone x Purpose/ACBus,28.72658157,51.47616456,76.37330304,59.74661862,32.47805287,51.49037974,76.41929737,59.73539738,36.3966687,10,24Step
3683,Zone x Purpose/ACBus,49.93116466,51.47616456,68.58483058,54.82072757,53.31227505,51.49037974,68.59402271,54.81999597,55.273677,11,24Step
3684,Zone x Purpose/ACBus,59.65107697,51.47616456,58.86421051,52.58871311,62.82505833,51.49037974,58.94475385,52.59001739,45.792666,12,24Step
3685,Zone x Purpose/ACBus,44.25824125,51.47616456,28.7394054,33.82847741,37.78561228,51.49037974,30.04135337,33.84712281,51.7136825,13,24Step
3686,Zone x Purpose/ACBus,43.74231771,51.47616456,29.2525286,42.54904641,37.99008915,51.49037974,29.11199614,42.53241286,13.030862,14,24Step
3687,Zone x Purpose/ACBus,49.39262411,51.47616456,22.73974509,56.58117529,51.6840814,51.31671625,19.93724256,55.49438763,30.7406746,15,24Step
3688,Zone x Purpose/ACBus,38.40583137,51.47616456,60.78068333,46.08564815,45.78621898,51.49037974,63.42993437,47.17743769,17.2792283,16,24Step
3689,Zone x Purpose/ACBus,32.4864738,51.47616456,73.50092465,48.04793367,30.75572342,51.49037974,74.52975953,48.0362587,23.5199179,17,24Step
3690,Zone x Purpose/ACBus,25.39089891,51.47616456,60.20234976,57.17269433,27.42215171,51.49037974,60.42231044,57.1986256,68.8922296,18,24Step
3691,Zone x Purpose/ACBus,37.17883193,51.47616456,55.50045356,45.58716419,35.84735682,51.49037974,56.23815939,45.57784153,26.6341907,19,24Step
3692,Zone x Purpose/ACBus,38.30042554,51.47616456,63.61866279,45.44751764,37.30008936,51.49037974,63.26585471,45.44108218,45.3776169,20,24Step
3693,Zone x Purpose/ACBus,38.47223975,51.47616456,64.95995971,50.29006185,36.74153872,51.49037974,64.34997093,50.31497507,66.037936,21,24Step
3694,Zone x Purpose/ACBus,13.55493989,51.47616456,73.32024365,59.63303235,17.92391573,51.49037974,73.04270477,59.62205537,67.1435185,22,24Step
3695,Zone x Purpose/ACBus,33.16301737,51.47616456,66.10608863,54.7071413,34.52435153,51.49037974,65.91075431,54.70665396,30.4291657,23,24Step
3696,Zone x Purpose/ACBus,29.60650178,51.47616456,56.84519531,52.47512685,29.87366984,51.49037974,56.78510517,52.47667538,48.1515415,24,24Step
3697,Zone x Purpose/ACOth,-1.746208807,16.8404354,20.82989465,27.40875483,-3.797912073,17.01754845,21.2957834,27.42740606,6.1352442,1,24Step
3698,Zone x Purpose/ACOth,7.478110095,16.8404354,9.303411911,14.69178562,6.589514982,17.01754845,8.35057437,14.67618177,0,2,24Step
3699,Zone x Purpose/ACOth,16.71914435,16.8404354,-14.84088959,18.81979485,17.55165419,17.01754845,-15.67135653,19.28262615,112.8572178,3,24Step
3700,Zone x Purpose/ACOth,9.213811592,16.8404354,18.7411202,16.94207415,9.662971406,14.8921919,23.95257976,18.62328229,25.1007333,4,24Step
3701,Zone x Purpose/ACOth,5.39761818,16.8404354,36.65759088,16.28592138,6.992673824,17.01754845,34.93915591,14.64143736,16.2348357,5,24Step
3702,Zone x Purpose/ACOth,-1.421123668,16.8404354,17.59165408,19.99442719,0.221424826,17.01754845,16.20145644,19.61759189,105.2484381,6,24Step
3703,Zone x Purpose/ACOth,14.77519268,16.8404354,24.12342296,22.97219918,15.05526995,17.01754845,24.72779994,22.88466008,16.3990741,7,24Step
3704,Zone x Purpose/ACOth,15.3048238,16.8404354,27.97106325,19.14806162,13.86837665,17.01754845,28.03352811,19.1252725,19.5867062,8,24Step
3705,Zone x Purpose/ACOth,16.25521665,16.8404354,14.44009126,13.61939037,18.19016821,17.01754845,13.95335421,13.62126111,4.7304484,9,24Step
3706,Zone x Purpose/ACOth,-16.76833641,16.8404354,19.86417827,17.14552426,-13.80554988,17.01754845,19.70004353,17.14991331,37.2727098,10,24Step
3707,Zone x Purpose/ACOth,-4.330093101,16.8404354,21.44976626,19.20117534,-2.532154886,17.01754845,21.10871331,19.19629856,53.1822804,11,24Step
3708,Zone x Purpose/ACOth,25.76449913,16.8404354,8.954643816,15.01366534,28.30321422,17.01754845,8.882419775,15.01569252,0,12,24Step
3709,Zone x Purpose/ACOth,3.708385918,16.8404354,13.13135964,24.88173412,-2.402002538,17.01754845,14.03925249,24.8912182,17.6257062,13,24Step
3710,Zone x Purpose/ACOth,5.334839984,16.8404354,5.499472712,14.20435189,-0.142890775,17.01754845,4.435712143,14.19047609,46.753251,14,24Step
3711,Zone x Purpose/ACOth,12.0326561,16.8404354,-16.75403602,18.79991697,2.961291467,14.8921919,-17.85277438,19.26410099,18.4537708,15,24Step
3712,Zone x Purpose/ACOth,4.435826003,16.8404354,18.26521494,17.02937899,12.99080776,17.01754845,21.34176375,16.67422719,16.6580096,16,24Step
3713,Zone x Purpose/ACOth,0.785134825,16.8404354,36.95567012,16.39779683,-0.515606957,17.01754845,36.92939079,16.32647568,6.5114319,17,24Step
3714,Zone x Purpose/ACOth,-11.60779857,16.8404354,18.24982125,20.11193522,-9.15079831,17.01754845,18.34474495,20.09364764,45.9423856,18,24Step
3715,Zone x Purpose/ACOth,8.361766335,16.8404354,24.91132544,23.09099843,7.652044582,17.01754845,25.14365849,23.08526202,17.8944194,19,24Step
3716,Zone x Purpose/ACOth,8.422244647,16.8404354,28.76433409,19.26715686,8.220646385,17.01754845,28.6533578,19.26311523,1.2055713,20,24Step
3717,Zone x Purpose/ACOth,10.40272731,16.8404354,15.19448127,13.73855346,8.861253935,17.01754845,14.60682208,13.74480482,11.2679259,21,24Step
3718,Zone x Purpose/ACOth,-12.11126084,16.8404354,20.53065976,17.26470291,-7.627486588,17.01754845,20.34322466,17.27019914,58.8472585,22,24Step
3719,Zone x Purpose/ACOth,-1.40925285,16.8404354,22.02468958,19.32035756,-0.315206559,17.01754845,21.69067286,19.31584211,14.8346946,23,24Step
3720,Zone x Purpose/ACOth,12.08209511,16.8404354,9.465791487,15.13284838,12.73427055,17.01754845,9.416770326,15.13506696,0,24,24Step
3721,Zone x Purpose/ADHol,606.5403902,685.627071,683.5132196,685.681928,616.0746981,693.0268155,686.3046502,687.2731514,695.1489342,1,24Step
3722,Zone x Purpose/ADHol,202.3548812,225.5518935,419.0510024,233.0415353,212.7777922,229.494332,438.5038049,235.1871934,229.3975825,2,24Step
3723,Zone x Purpose/ADHol,256.2361368,280.1363232,267.9265347,277.3188693,265.1296664,253.1165591,227.3484277,242.899909,271.9908118,3,24Step
3724,Zone x Purpose/ADHol,482.7759603,486.6236068,422.7444567,488.9084287,492.4446611,513.8429741,299.173076,375.7666569,360.7191222,4,24Step
3725,Zone x Purpose/ADHol,241.2272232,247.6624823,169.5835784,236.3615102,241.8721146,250.1524584,311.5543676,376.2868888,182.6564451,5,24Step
3726,Zone x Purpose/ADHol,275.14462,277.6919711,258.0507233,280.3583105,281.7677659,278.3514881,265.7875064,284.9894293,296.1110403,6,24Step
3727,Zone x Purpose/ADHol,639.5660633,616.9630482,548.9594596,588.2759418,634.3642314,618.1464095,545.7622838,587.7579208,583.9812467,7,24Step
3728,Zone x Purpose/ADHol,528.6327811,533.2936433,527.1832151,543.2005177,536.5972898,534.7250886,531.9108424,546.8744984,506.3731804,8,24Step
3729,Zone x Purpose/ADHol,464.8672071,490.3475719,480.9460468,481.2743346,461.9767459,482.4925936,476.5213876,477.4857881,497.1873189,9,24Step
3730,Zone x Purpose/ADHol,350.0834012,361.0512612,382.8831091,381.2948985,371.227885,363.2166239,379.0018295,376.4642631,408.2522474,10,24Step
3731,Zone x Purpose/ADHol,289.935187,325.1900014,327.2567491,287.5080708,280.3990615,321.48578,331.6301512,288.978704,314.0730923,11,24Step
3732,Zone x Purpose/ADHol,234.6951966,241.1062293,204.5875765,205.0575823,232.8833954,235.2696952,205.3657176,207.4546324,273.1478973,12,24Step
3733,Zone x Purpose/ADHol,572.0568732,708.6546807,657.8347745,679.2445933,630.7610409,703.641791,658.4169709,681.8026241,628.6644159,13,24Step
3734,Zone x Purpose/ADHol,202.8786833,244.9848039,407.6999553,230.5368554,228.0781199,238.5705973,426.0209703,232.681658,268.9818125,14,24Step
3735,Zone x Purpose/ADHol,260.5214015,278.3397491,262.1100903,274.9901514,390.2762998,383.6927789,220.7559448,240.5681228,379.948722,15,24Step
3736,Zone x Purpose/ADHol,469.4310586,485.4543521,419.6124504,486.587584,366.4979809,383.9099841,440.5466867,512.4212756,432.0424802,16,24Step
3737,Zone x Purpose/ADHol,252.7528812,250.2882915,167.7587255,234.0410178,253.9772388,252.1386234,182.6065438,243.1336955,332.4813134,17,24Step
3738,Zone x Purpose/ADHol,266.7696335,278.4643321,256.8179388,278.0378339,274.1718147,279.6673857,248.8663981,275.0016611,289.7928686,18,24Step
3739,Zone x Purpose/ADHol,651.4644116,639.8848944,547.9239383,585.9554659,645.0629884,628.8617583,542.846844,584.987674,672.3365081,19,24Step
3740,Zone x Purpose/ADHol,525.4064209,529.1102968,526.1491019,540.8800418,542.8826207,533.9954525,530.649569,544.5272,596.6374323,20,24Step
3741,Zone x Purpose/ADHol,450.7996198,482.4494987,479.8165532,478.9538587,462.3509792,480.8633932,475.2686605,475.1632746,434.2842094,21,24Step
3742,Zone x Purpose/ADHol,350.7837538,354.7132718,381.6029789,378.9744226,377.6423549,361.2244692,377.7150279,374.1432019,326.484244,22,24Step
3743,Zone x Purpose/ADHol,274.2047793,327.2027765,325.869088,285.1875949,301.6616511,323.2871298,330.258569,286.657728,383.527072,23,24Step
3744,Zone x Purpose/ADHol,221.2335683,234.6614043,203.0226078,202.7371063,220.1537105,233.7812787,203.8408004,205.1336614,145.9315175,24,24Step
3745,Zone x Purpose/ADVis,439.1123623,404.0303495,472.2662902,457.997229,434.9366868,402.445043,471.1548198,456.0293016,427.150285,1,24Step
3746,Zone x Purpose/ADVis,142.9936824,172.8296394,436.041496,227.9877039,141.1042083,172.8982031,425.7283316,223.5016314,139.0387723,2,24Step
3747,Zone x Purpose/ADVis,235.6475414,212.3155226,225.9436398,147.3210244,210.1142318,196.8504062,202.6469997,129.3206813,248.2360983,3,24Step
3748,Zone x Purpose/ADVis,334.6361405,324.5617936,176.2944576,243.4487715,364.3233357,343.6007301,117.0746078,175.1924513,299.1320018,4,24Step
3749,Zone x Purpose/ADVis,197.1753462,214.9218681,151.3554982,222.8441514,196.3181869,215.4403362,191.217543,277.9972917,189.1819466,5,24Step
3750,Zone x Purpose/ADVis,213.4650886,213.8174564,141.1945768,205.8405057,217.3863771,213.0493764,162.1384461,227.0656061,312.3785669,6,24Step
3751,Zone x Purpose/ADVis,332.4657126,298.5270534,165.6219775,229.6671564,334.8049456,300.928574,181.7409557,239.037189,363.7739342,7,24Step
3752,Zone x Purpose/ADVis,168.9142203,169.3070231,138.3833318,162.8988051,162.93231,169.4013968,145.6977744,166.5251531,304.6828659,8,24Step
